Station,Year,Month,T.max
Dhaka (11111),1983,8,31.06
Dhaka (11111),1983,9,31.11
Dhaka (11111),1983,10,30.62
Dhaka (11111),1983,11,30.26
Dhaka (11111),1983,12,25.88
Dhaka (11111),1984,1,24.86
Dhaka (11111),1984,2,27.61
Dhaka (11111),1984,3,34.54
Dhaka (11111),1984,4,34.4
Dhaka (11111),1984,5,31.4
Dhaka (11111),1984,6,30.87
Dhaka (11111),1984,7,30.93
Dhaka (11111),1984,8,31.27
Dhaka (11111),1984,9,31.37
Dhaka (11111),1984,10,31.86
Dhaka (11111),1984,11,29.85
Dhaka (11111),1984,12,26.77
Dhaka (11111),1985,1,26.24
Dhaka (11111),1985,2,29.15
Dhaka (11111),1985,3,34
Dhaka (11111),1985,4,33.62
Dhaka (11111),1985,5,32.3
Dhaka (11111),1985,6,31.69
Dhaka (11111),1985,7,30.73
Dhaka (11111),1985,8,31.79
Dhaka (11111),1985,9,31.81
Dhaka (11111),1985,10,32.55
Dhaka (11111),1985,11,30.25
Dhaka (11111),1985,12,28.04
Dhaka (11111),1986,1,26.39
Dhaka (11111),1986,2,29.43
Dhaka (11111),1986,3,34.38
Dhaka (11111),1986,4,33.44
Dhaka (11111),1986,5,33.74
Dhaka (11111),1986,6,33.45
Dhaka (11111),1986,7,31.9
Dhaka (11111),1986,8,33.05
Dhaka (11111),1986,9,31.22
Dhaka (11111),1986,10,31.36
Dhaka (11111),1986,11,29.48
Dhaka (11111),1986,12,26.82
Dhaka (11111),1987,1,26.69
Dhaka (11111),1987,2,30.34
Dhaka (11111),1987,3,33.08
Dhaka (11111),1987,4,33.79
Dhaka (11111),1987,5,34.88
Dhaka (11111),1987,6,33.94
Dhaka (11111),1987,7,31.35
Dhaka (11111),1987,8,31.86
Dhaka (11111),1987,9,32.21
Dhaka (11111),1987,10,32.38
Dhaka (11111),1987,11,30.23
Dhaka (11111),1987,12,27.31
Dhaka (11111),1988,1,27.18
Dhaka (11111),1988,2,30.11
Dhaka (11111),1988,3,32.6
Dhaka (11111),1988,4,35.29
Dhaka (11111),1988,5,33.13
Dhaka (11111),1988,6,31.98
Dhaka (11111),1988,7,32.23
Dhaka (11111),1988,8,31.85
Dhaka (11111),1988,9,33.01
Dhaka (11111),1988,10,32.71
Dhaka (11111),1988,11,30.52
Dhaka (11111),1988,12,27.4
Dhaka (11111),1989,1,25.36
Dhaka (11111),1989,2,28.84
Dhaka (11111),1989,3,33.76
Dhaka (11111),1989,4,36.08
Dhaka (11111),1989,5,34.38
Dhaka (11111),1989,6,32.86
Dhaka (11111),1989,7,32.08
Dhaka (11111),1989,8,32.94
Dhaka (11111),1989,9,32.03
Dhaka (11111),1989,10,31.55
Dhaka (11111),1989,11,30.24
Dhaka (11111),1989,12,26.6
Dhaka (11111),1990,1,25.45
Dhaka (11111),1990,2,27.48
Dhaka (11111),1990,3,28.81
Dhaka (11111),1990,4,31.93
Dhaka (11111),1990,5,32.68
Dhaka (11111),1990,6,32.29
Dhaka (11111),1990,7,31.07
Dhaka (11111),1990,8,32.11
Dhaka (11111),1990,9,32.02
Dhaka (11111),1990,10,30.18
Dhaka (11111),1990,11,29.78
Dhaka (11111),1990,12,26.54
Dhaka (11111),1991,1,24.28
Dhaka (11111),1991,2,28.88
Dhaka (11111),1991,3,32.55
Dhaka (11111),1991,4,33.9
Dhaka (11111),1991,5,31.76
Dhaka (11111),1991,6,31.55
Dhaka (11111),1991,7,32.1
Dhaka (11111),1991,8,31.83
Dhaka (11111),1991,9,30.6
Dhaka (11111),1991,10,30.92
Dhaka (11111),1991,11,28.25
Dhaka (11111),1991,12,24.75
Dhaka (11111),1992,1,23.97
Dhaka (11111),1992,2,25.51
Dhaka (11111),1992,3,32.51
Dhaka (11111),1992,4,36.12
Dhaka (11111),1992,5,33.49
Dhaka (11111),1992,6,33.68
Dhaka (11111),1992,7,31.52
